"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9077","E2E","webkit","2026-09-03","passed","2026-09-03","","E2E.spec.ts","",""
"","5057","E2E","chromium","2026-09-03","passed","2026-09-03","","E2E.spec.ts","",""
